"","TCGA.05.4244","TCGA.05.4249","TCGA.05.4250","TCGA.05.4390","TCGA.05.4395","TCGA.05.4403","TCGA.05.4405","TCGA.05.4415","TCGA.05.4417","TCGA.05.4418","TCGA.05.4422","TCGA.05.4427","TCGA.05.4432","TCGA.05.4433","TCGA.05.5425","TCGA.35.3615","TCGA.44.6145","TCGA.44.6146","TCGA.44.6776","TCGA.44.6779","TCGA.44.7659","TCGA.44.7661","TCGA.44.7669","TCGA.44.7671","TCGA.44.7672","TCGA.44.8117","TCGA.44.8119","TCGA.44.8120","TCGA.44.A479","TCGA.44.A47A","TCGA.49.4487","TCGA.49.4505","TCGA.49.4506","TCGA.49.4507","TCGA.49.4510","TCGA.49.AAR0","TCGA.49.AARO","TCGA.49.AARQ","TCGA.4B.A93V","TCGA.50.5051","TCGA.50.5072","TCGA.50.5932","TCGA.50.5933","TCGA.50.5936","TCGA.50.5939","TCGA.50.5941","TCGA.50.7109","TCGA.50.8459","TCGA.53.7813","TCGA.55.1595","TCGA.55.1596","TCGA.55.6642","TCGA.55.6970","TCGA.55.6975","TCGA.55.6983","TCGA.55.6984","TCGA.55.7281","TCGA.55.7283","TCGA.55.7284","TCGA.55.7574","TCGA.55.7576","TCGA.55.7725","TCGA.55.7726","TCGA.55.7728","TCGA.55.7815","TCGA.55.7907","TCGA.55.7910","TCGA.55.7911","TCGA.55.7913","TCGA.55.7914","TCGA.55.8090","TCGA.55.8092","TCGA.55.8094","TCGA.55.8097","TCGA.55.8203","TCGA.55.8207","TCGA.55.8299","TCGA.55.8302","TCGA.55.8507","TCGA.55.8508","TCGA.55.8512","TCGA.55.8514","TCGA.55.8615","TCGA.55.8616","TCGA.55.A490","TCGA.55.A492","TCGA.55.A494","TCGA.62.8398","TCGA.62.A46P","TCGA.62.A46R","TCGA.62.A46S","TCGA.62.A470","TCGA.64.1677","TCGA.64.5774","TCGA.64.5775","TCGA.64.5778","TCGA.64.5815","TCGA.67.3773","TCGA.67.3774","TCGA.67.4679","TCGA.69.7763","TCGA.69.7973","TCGA.69.7974","TCGA.69.7978","TCGA.69.7980","TCGA.69.8253","TCGA.69.8254","TCGA.73.4659","TCGA.73.4662","TCGA.73.4670","TCGA.73.4677","TCGA.73.7498","TCGA.73.A9RS","TCGA.75.5126","TCGA.75.5146","TCGA.75.6206","TCGA.75.7027","TCGA.75.7030","TCGA.75.7031","TCGA.78.7145","TCGA.78.7148","TCGA.78.7152","TCGA.78.7156","TCGA.78.7159","TCGA.78.7160","TCGA.78.7161","TCGA.78.7166","TCGA.78.7167","TCGA.78.7220","TCGA.78.7535","TCGA.78.7539","TCGA.78.7540","TCGA.78.8655","TCGA.80.5608","TCGA.83.5908","TCGA.86.7713","TCGA.86.7953","TCGA.86.8054","TCGA.86.8056","TCGA.86.8076","TCGA.86.8280","TCGA.86.8281","TCGA.86.8359","TCGA.86.8674","TCGA.86.A456","TCGA.86.A4JF","TCGA.91.6828","TCGA.91.6836","TCGA.91.6849","TCGA.91.7771","TCGA.93.7347","TCGA.93.8067","TCGA.93.A4JO","TCGA.95.7039","TCGA.95.7562","TCGA.95.7567","TCGA.95.A4VK","TCGA.95.A4VN","TCGA.95.A4VP","TCGA.97.7554","TCGA.97.7938","TCGA.97.7941","TCGA.97.8176","TCGA.97.8179","TCGA.97.A4M0","TCGA.97.A4M3","TCGA.97.A4M5","TCGA.99.8025","TCGA.99.8028","TCGA.99.8032","TCGA.99.8033","TCGA.J2.8194","TCGA.J2.A4AG","TCGA.L9.A443","TCGA.L9.A8F4","TCGA.MN.A4N5","TCGA.MP.A4SY","TCGA.MP.A4T4","TCGA.MP.A4T7","TCGA.MP.A4T8","TCGA.MP.A4TD","TCGA.MP.A4TE","TCGA.MP.A4TF","TCGA.MP.A4TI","TCGA.MP.A4TK","TCGA.NJ.A4YF","TCGA.NJ.A4YG","TCGA.NJ.A4YI","TCGA.NJ.A4YP","TCGA.NJ.A55O","TCGA.NJ.A55R"
"Th17_Standard",-0.0313443417896054,0.00672872177061673,0.0139824372360843,-0.0138752240133129,-0.0652726912449289,-0.0261002885316504,0.0662528239672581,-0.0256502687385666,0.169248369550885,-0.0403648611869455,-0.0976452126859372,0.00545969511067947,-0.0568989894142063,-0.0160953392966023,-0.0704121621826791,-0.0966451208130469,0.0371658773897786,-0.016964918649616,-0.0765732693973171,0.007517622549748,-0.0574757629710899,0.113812653568233,0.0251283100754442,-0.0417992050717966,0.117302907984448,-0.000365577694829466,0.17097158291448,0.00481028926726078,0.143166258900354,0.0180591738109529,0.0678379696724006,-0.0580137006735892,-0.053188832382925,-0.0290151218117158,-0.0768620652260908,-0.0300788934072906,0.0785681420872799,-0.117070037988245,-0.0189358228833723,-0.0469714376155845,0.00930564712415242,-0.0868333055699354,0.0994241994210292,0.0359869383550889,0.0512601766593328,0.041895972952159,-0.0252157710608839,0.40100301186383,0.0539768911177395,0.035041969677709,-0.0566486041004303,0.213403930976883,-0.0238090968886764,0.111717510788714,0.0667378314061781,-0.0289666672610683,0.0229552100016971,-0.0526300855930231,0.105332466571488,0.082963492507874,-0.020510701392946,0.00590897415822343,0.19796518321205,-0.00570303557578875,0.117917310214244,-0.000991619096963957,0.0069502025820072,0.0541842098179284,-0.0743217422261193,-0.000604544539600369,0.0157414573125925,-0.0156143593631155,-0.0413046066778814,-0.0339116332389561,0.0133470575690119,-0.0086154309843166,0.141274120561271,-0.038145249553179,-0.023805497057693,-0.0196635474637732,-0.047658475304797,-0.0807542026940838,-0.0312837719327748,-0.0624864925073299,-0.025647521469723,-0.145542126831264,-0.0303851801970861,0.0564954525817638,-0.103057080015724,-0.00135274719905004,-0.0273897664183699,-0.0527950973719916,-0.03122591448873,0.00923087011046938,0.0181343384986141,-0.0301287353512362,0.238049634789222,-0.0404233330647827,-0.0273344284466935,-0.010907961088601,-0.00980603158786557,0.015315770958529,0.0185706946026978,0.061772763742281,-0.0255330585086574,-0.0750720313785158,-0.0515007725087161,0.0065131770036111,-0.0115819194879363,9.26243826045526e-05,-0.0963089560912512,-0.0580274368477639,-0.0532291436554636,0.0110922537961344,-0.032920107978248,-0.0598954973150386,0.0922915538741919,0.234138640701339,-0.0347255366478202,-0.0177481933139858,-0.0286627960419397,-0.0464837661298116,-0.128871833717747,-0.00311567451136392,0.00521827509146847,-0.0214998861736476,-0.0867989555973231,-0.1039007348075,-0.0618581810072029,0.00587367773865,-0.0696693951420008,-0.0422123237197655,-0.0277042688351977,-0.0536225936346367,0.0593593532129869,-0.0393090177344966,0.0866458296417952,-0.0178380985340857,-0.0746407116541579,0.0387160265080726,0.0207163855370777,-0.0565448535313117,-0.0227561887512211,-0.087842860053231,-0.0373564940491177,-0.0521616714003672,0.0512999347757342,-0.0944275400615212,-0.0527038802491117,0.036762846525909,0.0585018338739815,-0.0362229038485827,0.0327102622721996,-0.0516338259536897,-0.0267663797434056,-0.0327438164491389,-0.0892762222542253,0.0406310038788116,0.0247157686924518,0.0763865757186222,-0.0466103656187292,-0.0276561554845372,-0.0240879016621812,-0.0613330996827582,-0.0114485558900797,-0.0262745581161051,0.00182157025324866,-0.015092971237513,0.136698202509164,0.0763635221284147,-0.039756839199981,0.0514476319141208,0.0537546454653591,-0.0124365301301981,0.0003533034539646,-0.0391627156969259,0.0413339863793121,0.00862529848108975,-0.0589580912097468,0.0191107027675796,0.0582597198888554,-0.0564467310122073,-0.0149938061916285,0.11532775316877,0.0938117804590739,-0.0482736580057765,-0.00237021723333819,-0.0281082447159728,0.0975880200105524,-0.0374517273220195,0.00868491891846188
"Th17_Enhanced",-0.0404921525892704,-0.0103814341261926,0.0434993331309908,-0.00848283194348947,-0.0172482280709402,-0.0359886516142059,0.0377902942344866,0.0192827455775245,0.147615889822262,-0.0257327425736249,-0.124112581332233,0.0304435945083203,-0.0262589711207611,-0.0357738730365053,-0.0721982820555068,-0.106230582164215,0.0302924217359865,-0.0472338805049441,-0.0795189470805033,0.0157238434516149,-0.0998091045126178,0.133116006327601,0.0679380306378321,-0.0656537431841535,0.0957570942804004,-0.00746052396107899,0.185299050040003,-0.00836620373773192,0.129241855037735,-0.00138520195123056,0.0581290871786807,-0.0643706745247621,-0.0159770480310903,-0.0411478739236768,-0.12031665896826,-0.0215681940883429,0.0925318658550177,-0.123179351478889,0.0223562124639126,-0.0153202735105467,0.0363458169891776,-0.0963055327870246,0.116102113164887,0.0443430894610383,0.0596459390778319,0.0481372781112413,-0.0113171562413395,0.323376320151444,0.0879344694284766,0.0163347300332316,-0.0503854938104799,0.186275177835608,-0.0274818751343042,0.135921896832653,0.0683488969349396,-0.00544354447642001,0.0147592880694462,-0.0480711680898977,0.0422843657827988,0.0527364726915781,-0.00599503550024129,-0.00968694008499534,0.176801978883753,-0.0386409116248761,0.100326886536312,0.0104817349793897,0.0540567347044067,0.0595188660975133,-0.027003994633385,-0.00118321678929029,0.045881371168019,0.0107540105464571,-0.0157946758190574,-0.0624684676633549,0.0213761954334179,-0.0528532342260449,0.133362186601966,-0.00985663567065474,0.0101060916866308,0.0256034472568598,-0.0714256480130862,-0.100932488615855,-0.00960402498219524,-0.0771816154615475,-0.00300861759970942,-0.147677765775819,-0.00401845801159892,0.0748944472810411,-0.107742003404478,0.0165459974886141,-0.0366622141788708,-0.040373606083758,0.00939249530754764,0.0593738939264661,0.0831725411415642,-0.0219346875105039,0.193649248484818,-0.0507507120070538,-0.0688960600676463,-0.0904755155977152,-0.0172862204710548,0.0299872538623542,0.0244004126842422,0.0652483856918397,-0.0634852532724516,-0.0510433103065348,-0.0654891758805374,-0.00617591848969214,-0.0612735048966676,0.0315246895995793,-0.122916570843585,-0.0797185317245159,-0.0594351946384074,0.0246683492457754,-0.0398821894024538,-0.0981420281282965,0.101641103631148,0.157453140872103,-0.0332181226594559,0.00362496611876793,-0.0137987763974696,-0.0627898440709362,-0.152967557659724,0.0173091648982572,0.0133826847021182,-0.0268238366744972,-0.0577001239200591,-0.175742939914396,-0.0498430206436559,0.0127860167586809,-0.0995130753585244,-0.084164952746576,-0.0340597209328859,-0.0478335366526667,0.0842053416265436,-0.0151288360597,0.107363490507967,0.0280190149243611,-0.0989696257209845,0.00854482203351769,-0.0180355284630109,-0.0840615242797543,-0.00653800650366293,-0.0762353061648532,-0.0299090878791628,-0.0189049301347124,0.0511783157801048,-0.03346989132271,-0.0705019166455294,0.027625998955749,0.0201153039631192,-0.0164253916428007,0.0148951693634606,-0.0427579173242071,0.0238299800484396,-0.00633151628668382,-0.128689429494064,0.0664404960630438,0.0453254188036718,0.0689322578941229,-0.111810101394018,-0.0540381654733481,-0.0212550569123255,-0.0714268480605264,-0.0265628429579865,-0.0379466152941009,0.0004287468411529,-0.026430209212959,0.116759122128792,0.0852296637689022,-0.00287203789352136,0.0134435111280528,0.0446723375059819,-0.0184016790967384,-0.0336387417816884,-0.0081631715868765,0.0416956309900286,0.0220411129532265,-0.0419106671063051,0.0414138877394988,0.0671054254004726,-0.014040148781584,0.0140198425469,0.13843892639349,0.0819873237902335,-0.0470287970042771,0.00132953519251585,-0.0142328764842249,0.0849077546352049,-0.0313379131288145,0.00890159030723523
"Th17_CodeSet",0.00757375722703432,-0.0132617041845203,-0.050610549703169,0.0761496843980805,0.020386560090753,-0.0369900507452654,-0.00219723860538163,0.0400555771294433,-0.0949197739036098,-0.0195504156068164,-0.0509695674541283,0.00658849801610431,0.00847133186766658,-0.0681215842025994,-0.0715113430032256,0.0655746953306876,-0.100200383263923,0.0215086848186631,0.0893322661579308,-0.100567440974504,0.0338588483017434,-0.13047277512767,-0.000894381180663501,0.0848852515525466,-0.135779009138778,0.0357257754117308,-0.01665504880054,0.0160719501316678,-0.161168001372483,-0.0241144977616853,-0.0829121483883133,-0.0413191209916765,0.043338361430316,-0.0129347733981792,0.0749938253346517,0.0103791947089066,-0.0790594126152966,0.0388744633161017,0.0859810951690282,0.097005802774886,0.0549204340453832,0.0808267396838469,-0.0807562090836626,0.0225691264852686,-0.0502535776195058,-0.145291345415079,0.0313099669048124,-0.136593044838714,0.0406430461573003,0.00989883436635324,0.0519391785109113,-0.0537628740375756,-0.0277747069205487,0.0277019366021968,-0.0327649769999049,0.0357686825269118,-0.0329295890579273,0.020500455780901,-0.0431143249848101,-0.139085627228683,-0.00128332252081527,-0.0634851416872491,-0.0306201717770881,-0.123646697133479,-0.0529603379601399,-0.038081682166996,0.0796754846727418,-0.109175120040061,0.09777171213821,-0.0093568100525468,-0.000793108782636151,-0.0776807700516823,0.112223363698769,0.0123489854255157,-0.0149832283883028,-0.0206201750387367,-0.125717545340047,-0.000999119078787573,0.0571233428414583,0.0352844821434389,0.0338087714381027,0.0597033163619065,0.0998782235048049,0.0464600327495177,0.0475598220844131,0.109905662800916,0.0957023446368774,0.0132528313419605,0.0964495996595109,-0.0251569114361041,0.0471341672846608,0.0898127423015136,0.0298214904746285,0.0808012717541416,0.0294444296172728,-0.0712973274379911,-0.0575304859298576,-0.0609239566021045,-0.0124827949418775,-0.00646687347654018,0.0192570576606711,0.0617125555709473,-0.0988548203878208,-0.190194789606082,-0.0195439293861529,0.072826565156619,-0.0415860341111916,0.0329743484361968,-0.0432368511913466,0.0846328244784809,0.0564892137868206,0.0171516085206566,0.100036542821257,-0.111156506969384,0.0100689481312885,0.0409281832423502,0.0552986749616287,-0.0667558808790571,0.0429650111906697,0.0387006626355745,0.0546675023226023,0.0182211700654645,0.0876536947968515,0.054363199143628,-0.0694519844115016,0.100401421000044,0.090104590266564,0.0923583109236705,0.0786154223284544,0.0572775013819517,-0.0396617980132894,0.0276595982496925,0.00140291019533557,0.0770892453922525,-0.167443590598492,0.093371183771037,-0.053462899404402,0.098974769811101,-0.0170319093686295,-0.0838720578773321,-0.0858733703941552,0.0672560383298088,-0.00427067282940051,0.125217074961538,-0.0322788356483597,0.00681595165157061,-0.0711714722445568,0.0674115664919069,0.0125210736082891,-0.100123967541209,-0.179412318204711,0.0726366493447017,-0.0829202819423362,0.0385547275331737,0.0471269485781633,0.0159608034969253,0.01720123042419,-0.0953908358296498,0.0167700070767154,-0.0344489269847184,0.012734942445157,-0.00536380996530693,0.0595090507153531,0.0737204150606105,-0.0446862907892407,0.078561020476623,-0.0165988394099857,0.0524160369243921,-0.223986107330428,0.0345580183221619,-0.0165331047549929,0.0334096930652499,-0.0477865276423369,0.0440420345982448,-0.0822014557529057,-0.012838758864942,0.0286693980851004,-0.140353663646192,0.0411634013482738,0.0822145997702664,0.0113897443852658,0.129021041469601,0.0348875734380211,-0.258512402027919,-0.0642490560881536,0.103374588253316,0.0189145152689263,0.0356098532190083,0.027644967314546,0.0215321747345071,0.0580068687524599
