"","TCGA.05.4244","TCGA.05.4249","TCGA.05.4250","TCGA.05.4390","TCGA.05.4395","TCGA.05.4403","TCGA.05.4405","TCGA.05.4415","TCGA.05.4417","TCGA.05.4418","TCGA.05.4422","TCGA.05.4427","TCGA.05.4432","TCGA.05.4433","TCGA.05.5425","TCGA.35.3615","TCGA.44.6145","TCGA.44.6146","TCGA.44.6776","TCGA.44.6779","TCGA.44.7659","TCGA.44.7661","TCGA.44.7669","TCGA.44.7671","TCGA.44.7672","TCGA.44.8117","TCGA.44.8119","TCGA.44.8120","TCGA.44.A479","TCGA.44.A47A","TCGA.49.4487","TCGA.49.4505","TCGA.49.4506","TCGA.49.4507","TCGA.49.4510","TCGA.49.AAR0","TCGA.49.AARO","TCGA.49.AARQ","TCGA.4B.A93V","TCGA.50.5051","TCGA.50.5072","TCGA.50.5932","TCGA.50.5933","TCGA.50.5936","TCGA.50.5939","TCGA.50.5941","TCGA.50.7109","TCGA.50.8459","TCGA.53.7813","TCGA.55.1595","TCGA.55.1596","TCGA.55.6642","TCGA.55.6970","TCGA.55.6975","TCGA.55.6983","TCGA.55.6984","TCGA.55.7281","TCGA.55.7283","TCGA.55.7284","TCGA.55.7574","TCGA.55.7576","TCGA.55.7725","TCGA.55.7726","TCGA.55.7728","TCGA.55.7815","TCGA.55.7907","TCGA.55.7910","TCGA.55.7911","TCGA.55.7913","TCGA.55.7914","TCGA.55.8090","TCGA.55.8092","TCGA.55.8094","TCGA.55.8097","TCGA.55.8203","TCGA.55.8207","TCGA.55.8299","TCGA.55.8302","TCGA.55.8507","TCGA.55.8508","TCGA.55.8512","TCGA.55.8514","TCGA.55.8615","TCGA.55.8616","TCGA.55.A490","TCGA.55.A492","TCGA.55.A494","TCGA.62.8398","TCGA.62.A46P","TCGA.62.A46R","TCGA.62.A46S","TCGA.62.A470","TCGA.64.1677","TCGA.64.5774","TCGA.64.5775","TCGA.64.5778","TCGA.64.5815","TCGA.67.3773","TCGA.67.3774","TCGA.67.4679","TCGA.69.7763","TCGA.69.7973","TCGA.69.7974","TCGA.69.7978","TCGA.69.7980","TCGA.69.8253","TCGA.69.8254","TCGA.73.4659","TCGA.73.4662","TCGA.73.4670","TCGA.73.4677","TCGA.73.7498","TCGA.73.A9RS","TCGA.75.5126","TCGA.75.5146","TCGA.75.6206","TCGA.75.7027","TCGA.75.7030","TCGA.75.7031","TCGA.78.7145","TCGA.78.7148","TCGA.78.7152","TCGA.78.7156","TCGA.78.7159","TCGA.78.7160","TCGA.78.7161","TCGA.78.7166","TCGA.78.7167","TCGA.78.7220","TCGA.78.7535","TCGA.78.7539","TCGA.78.7540","TCGA.78.8655","TCGA.80.5608","TCGA.83.5908","TCGA.86.7713","TCGA.86.7953","TCGA.86.8054","TCGA.86.8056","TCGA.86.8076","TCGA.86.8280","TCGA.86.8281","TCGA.86.8359","TCGA.86.8674","TCGA.86.A456","TCGA.86.A4JF","TCGA.91.6828","TCGA.91.6836","TCGA.91.6849","TCGA.91.7771","TCGA.93.7347","TCGA.93.8067","TCGA.93.A4JO","TCGA.95.7039","TCGA.95.7562","TCGA.95.7567","TCGA.95.A4VK","TCGA.95.A4VN","TCGA.95.A4VP","TCGA.97.7554","TCGA.97.7938","TCGA.97.7941","TCGA.97.8176","TCGA.97.8179","TCGA.97.A4M0","TCGA.97.A4M3","TCGA.97.A4M5","TCGA.99.8025","TCGA.99.8028","TCGA.99.8032","TCGA.99.8033","TCGA.J2.8194","TCGA.J2.A4AG","TCGA.L9.A443","TCGA.L9.A8F4","TCGA.MN.A4N5","TCGA.MP.A4SY","TCGA.MP.A4T4","TCGA.MP.A4T7","TCGA.MP.A4T8","TCGA.MP.A4TD","TCGA.MP.A4TE","TCGA.MP.A4TF","TCGA.MP.A4TI","TCGA.MP.A4TK","TCGA.NJ.A4YF","TCGA.NJ.A4YG","TCGA.NJ.A4YI","TCGA.NJ.A4YP","TCGA.NJ.A55O","TCGA.NJ.A55R"
"Th17_Standard",0.136862270256218,-0.157685037531086,-0.170443707165701,-0.180397457511797,0.147290128748982,-0.00850020995810977,-0.144650657247336,-0.459846654627932,0.339891547061382,0.0163997916525144,0.264158534850204,-0.0694153122410883,0.179108474107326,0.145686098949218,0.176623120939771,-0.0659836901791491,0.30980557178567,0.344347849975132,0.0391791285578273,0.242547817572639,-0.00545014802525101,0.257612399080323,-0.254346580519643,0.106807649840534,0.292041550002647,-0.121320472516542,0.0913033478388225,0.264049050823003,0.115438550404305,0.0110108238141818,0.150567219596865,0.190471756638515,0.0632842660419742,0.141235660570022,0.166707901863068,0.0253447147390752,0.23584528257111,-0.00574473132870218,0.0429575758735572,-0.366091996047298,-0.0549145391850799,-0.0256285990351,0.222836955058411,-0.0115614133461867,0.394027681933105,0.377555928056412,-0.101393627079785,0.302200420444746,-0.0635075642386692,-0.379820875935122,-0.129983682376178,0.00703727329185397,-0.106984403935158,0.000512208603734021,-0.106807177479032,0.367573049519765,0.0587917426278478,-0.472977052678162,0.363337604818954,0.436549766711487,-0.175349099810915,0.156529060452497,0.139138899044886,0.271972642918834,0.231787849849598,-0.139874811720648,0.038178569240413,-0.00268781116181993,-0.09563766021446,0.022583901299204,-0.0164574182427239,-0.0756693952186292,-0.285184571507585,0.00138723200887289,-0.112038140285961,0.0027317988167079,0.281498759254122,-0.0423218272272979,-0.191580395008528,-0.181620060360104,-0.208016968079294,0.14034834347151,0.0677387559878921,0.054600038197621,0.204201953008549,-0.0933679632637594,-0.290452860059165,0.229681151377019,0.25189009792166,0.0456627942991894,-0.0426074572662783,-0.268368823011696,-0.340094190403538,-0.24971189247235,-0.362054551889772,-0.0965732299678884,0.41210614293842,0.288235738932776,0.332631089449929,0.166453007899348,0.117098071391935,-0.235745201537538,-0.197698764338008,0.0892584596590822,-0.00786527610804477,0.02519390600268,0.182080550256208,0.0255954844625478,-0.00594139336408647,-0.132048419786468,-0.0667249692195094,0.0552090078849711,-0.291937743032934,0.0743371195961229,-0.0845378363944892,0.14705263056779,0.0109611030492373,0.493748570613108,-0.0477102556871723,-0.249919805838389,-0.142974408192328,-0.119998921848346,-0.0315753243260577,-0.150589618553938,0.135200650950427,-0.0227308121065523,-0.12672987184753,-0.215153205359987,-0.268268136774166,0.0934813126668752,0.34996724600639,0.185348874296088,-0.164603246814972,-0.104741389165335,-0.0165526968153805,-0.29285387812572,0.240918257256815,-0.327646448694119,0.162495791228157,0.189378606906601,0.192454141963723,0.0107635859689215,0.388292783562678,-0.188454052137025,0.157877995647205,-0.0663322792172857,0.112074325319956,-0.155623153306893,0.119921550962249,0.247404660541343,0.358044320442892,-0.0665635078847645,-0.0753876576865295,-0.0366221429614809,-0.4082924030952,-0.385256105538637,0.158579877234595,0.030193461780039,0.184853127817041,-0.223554340225369,0.111781185220299,0.177933098720099,-0.124146997111646,-0.222147434604111,0.0115928183305324,-0.193120341269823,0.051379115194032,-0.189231736136547,0.418542874436243,-0.0187105327437616,0.019026831645017,0.279641854518502,0.237798778064876,-0.0309926573125852,-0.163748239410028,0.162725172833901,0.011931205997538,-0.0151837310684878,-0.057652432776925,0.237847827781053,-0.117640392599446,-0.170260192224938,-0.00902326006847096,0.318972157525991,0.265088707451283,0.154056659858299,-0.280151367655268,-0.252212855197964,0.108905828388213,-0.169258239848847,-0.162593097680502
"Th17_Enhanced",0.0310776818239548,-0.0271680523007697,-0.14939245164438,0.101106959505966,0.0293021693128949,-0.00544345364375859,0.0610390595829841,-0.454214026513375,0.31348808271429,-0.130707774734749,0.219835585406013,0.0229014933377318,0.133697958252051,0.223109062201077,0.0268522556597914,-0.117532445451282,0.115608233971781,0.247124389333557,0.0328828690275421,0.211984723105438,0.0600258072613579,0.225850675663853,-0.215222219064457,0.139602437807473,0.170705810321912,-0.0300799354149069,0.0649122888453965,0.288444054528981,0.0825897761705496,-0.0760041007185889,0.029171906775813,0.0782638947982925,0.00266585966701839,-0.0598274361975127,0.143012626432167,0.0556263239013374,0.0691318410949631,-0.0306213857976665,0.167149180123824,-0.314215767490299,-0.0780568205215385,-0.0290814602743221,0.107331991635206,-0.181592152300392,0.297307949016242,0.284089016146144,-0.0909794916556212,0.15507144107784,-0.152787191693706,-0.109723412568524,-0.0776853370858795,-0.0722582498563886,-0.0732119869668188,-0.126601755659225,-0.175967596759284,0.210149217396487,0.00770095570156792,-0.19273590175992,0.344792803755769,0.289864629174626,-0.130910464974983,0.0286395581202272,-0.0132223659096946,0.140881473474343,0.103139001769521,-0.14510649921198,-0.0445337882580558,-0.041451544531188,-0.107745753504861,-0.0752430095484072,-0.0443208425133836,-0.223622117029635,-0.364971154971527,0.147056733915586,0.0231387027117908,0.0662909493938405,0.174659010043806,-0.196033910110706,-0.0358314680517437,-0.0499240756930154,-0.0794896336660024,0.162939363038312,0.0611327938626844,0.0533476386713382,0.301391228620147,-0.0680757862386676,-0.166296835498234,0.00387524007706141,0.219358143966324,0.0363466406624133,-0.0286561703830432,-0.0674699190525019,-0.308174111192589,-0.174130404918309,-0.196508456767524,-0.149698996653219,0.363719149479782,0.129111598937797,0.200984790483023,0.259353833118584,0.0644881427131501,-0.182102259100296,-0.00899342960180005,0.0278280183118071,0.0278393913937782,-0.123786318962485,0.195120739114276,0.0269392370172911,0.252584368768519,-0.101320974334071,0.0347134963733651,0.19420736961913,-0.120906765968211,-0.0766330834508669,-0.155381337744727,0.309823240757925,-0.160866676221518,0.431495674532949,-0.0714374217327443,-0.133098753791335,-0.236780119549617,-0.0820547230498714,-0.0443649639730002,-0.183563433736551,-0.00548209163575517,0.0702765252983152,-0.159045774542411,-0.0749460478447661,-0.182772816920636,-0.032688299724633,0.312276630326094,0.0719039777230369,-0.00604785417285081,0.0694189840806848,-0.121140158615564,-0.306469722641506,0.10197007329859,-0.388245201969814,0.197098358123376,0.100487731663111,0.159477923494722,0.101643310007833,0.285798298405744,0.0894959598769186,0.276500076674936,-0.0818983448153959,0.256963544014531,-0.170332510048343,0.252862594598161,0.127523768510982,0.339579724971775,-0.0908415317490163,-0.151166565018975,0.00378217972196951,-0.265441060144632,-0.320992825470566,0.168330933743218,0.090005124015531,0.140070355868217,-0.202327181998276,0.255904471637961,0.148832415633551,-0.0475505560551699,-0.140665773979204,-0.0244206151979255,0.00743878112346039,-0.080071160873122,-0.219424099114476,0.214037864930098,-0.17353967372886,-0.0628430869774106,0.306243997665512,0.103678067111575,-0.0468435654122421,-0.102601995272136,0.219056044534232,-0.0721918426699084,-0.155554326618576,-0.122146690794716,0.200661706479188,0.0666112773530625,-0.0291600576778099,-0.212788481824696,0.193110009186624,0.243142754466904,0.176359787883525,-0.270280386809703,-0.121320978353451,-0.104163866372438,-0.12180066902374,-0.124331804461603
"Th17_CodeSet",-0.102301720136888,-0.0480222458338946,0.22170807610519,-0.14160685513883,0.0864150474248762,0.141164211082876,-0.0635193552302239,-0.038478692653687,0.373228243664726,0.203912203885786,0.000665787265712009,0.0132085944754371,-0.0913298095365591,0.240255780937976,0.22921265993966,-0.24304018055159,0.349249272343893,-0.0954234206324966,-0.285901599785392,0.344136610437867,-0.180761725812997,0.367021250153979,-0.0157507038764089,-0.264897823109465,0.369532925317679,-0.212714093363388,0.0923328999231336,-0.164819541709623,0.235470241864716,-0.0064913243621561,0.241591640232275,0.153291578542739,0.0285378048499616,0.076407968289939,-0.334604197188807,-0.192482832386895,0.160993476912962,-0.238884551535832,-0.0880587554814525,-0.322195710662447,-0.156558239256518,-0.301210766973412,0.338705705327437,0.0345053228036906,0.31322552994658,0.383151057987117,-0.0230398970304391,0.18620925541476,-0.0559612076109308,-0.163970132296773,-0.215217310038063,0.188219105993252,0.256607819648283,0.0206593985196441,0.132251632755048,0.0388783065375252,0.218938395480805,-0.0491501228134805,0.0254142739198836,0.27661286060108,-0.0690984038471905,0.176356440637006,0.195710398441218,0.190494270570485,0.225996804129415,0.0476036785377036,-0.152353421343788,0.217062301564552,-0.33848798960985,0.0505853575436992,0.11936016060385,0.0678519429727,-0.349810190468328,-0.278319950452033,0.0761226720440425,-0.00997834330277844,0.395612595432885,-0.0836546398962854,-0.250690588832379,-0.0951172314692366,-0.215747697298673,-0.207491451074576,-0.365575999051207,-0.243305074093035,-0.0626876306228497,-0.360821893022257,-0.314340029549791,0.100739200164149,-0.220429014869186,0.0264884673187739,-0.00386619482613675,-0.245415654436524,-0.0389722627138412,-0.254222017509973,-0.0714080687582629,0.00996847127901515,0.325132981564659,0.141551646923704,0.0401405218654209,-0.0334527025796511,-0.0379223590841139,-0.230981422871311,0.298961448728609,0.380615001685272,-0.11703468535537,-0.156891393023204,0.148263182894866,-0.173717414406875,0.0427315262601919,-0.115739775535399,-0.14579688032751,-0.277926520817218,-0.310461757036105,0.325045947890428,-0.0642735543389782,-0.149081790975221,-0.114815729101169,0.256393785795693,0.0175588801674284,0.0238757553927509,0.0315264591635779,0.0372260358708954,-0.372913324313222,-0.140228882676184,0.345344064054585,-0.351368180864907,-0.265549904444542,-0.431362141797851,-0.229479530875389,-0.229046704020984,0.0752222849922485,-0.0860904907512992,0.0206678904981056,-0.151125644831062,0.346562031909353,-0.270925178264178,0.205874314745903,-0.337722157754995,-0.03829962305288,0.217694656084502,0.0862283127601821,-0.342662332414142,0.158002032906042,-0.311771376361663,0.18542287567082,0.105408296477685,0.348440919689184,-0.15171481317014,0.159879153325918,0.331032652345705,0.306557997131288,-0.131136133447933,0.121755132518576,-0.0142238642174587,-0.110496845592751,0.00368459507329058,-0.120992344365958,0.323718423302763,0.0290176597133368,0.187570514269783,0.0508946189071106,-0.187984052003083,-0.269594537804974,-0.372562648362444,0.0565997270006832,-0.0931081994861061,-0.0728673001072599,-0.331691021853596,0.405331959334186,-0.183278282140695,0.116675130930441,-0.0345616745542915,0.268871739809818,-0.22807363087978,0.0483797804039921,-0.109454678453365,-0.215395841828269,0.252046543706642,-0.0451066571576455,-0.19227976306786,-0.0777171910859064,-0.337404453900113,-0.155999541770566,0.396835160979479,0.216144438939461,-0.337068945525511,-0.0579152905370013,-0.303798721403377,-0.0568205345446002,-0.12914069058703,-0.380193992332092
