"","TCGA.05.4382","TCGA.05.4384","TCGA.05.4389","TCGA.05.4396","TCGA.05.4397","TCGA.05.4398","TCGA.05.4402","TCGA.05.4410","TCGA.05.4420","TCGA.05.4424","TCGA.05.4425","TCGA.05.4426","TCGA.05.4430","TCGA.05.4434","TCGA.05.5423","TCGA.05.5428","TCGA.05.5429","TCGA.05.5715","TCGA.35.4122","TCGA.35.4123","TCGA.35.5375","TCGA.38.4625","TCGA.38.4626","TCGA.38.4627","TCGA.38.4628","TCGA.38.4631","TCGA.38.4632","TCGA.38.6178","TCGA.38.7271","TCGA.38.A44F","TCGA.44.2655","TCGA.44.2656","TCGA.44.2657","TCGA.44.2659","TCGA.44.2662","TCGA.44.2665","TCGA.44.2666","TCGA.44.2668","TCGA.44.3396","TCGA.44.3398","TCGA.44.3918","TCGA.44.3919","TCGA.44.4112","TCGA.44.5643","TCGA.44.5644","TCGA.44.5645","TCGA.44.6148","TCGA.44.6774","TCGA.44.6775","TCGA.44.6777","TCGA.44.6778","TCGA.44.7660","TCGA.44.7662","TCGA.44.7667","TCGA.44.7670","TCGA.44.A47B","TCGA.44.A47G","TCGA.44.A4SS","TCGA.44.A4SU","TCGA.49.4486","TCGA.49.4488","TCGA.49.4490","TCGA.49.4494","TCGA.49.4501","TCGA.49.4512","TCGA.49.4514","TCGA.49.6742","TCGA.49.6743","TCGA.49.6744","TCGA.49.6745","TCGA.49.6761","TCGA.49.6767","TCGA.49.AAQV","TCGA.49.AAR2","TCGA.49.AAR3","TCGA.49.AAR4","TCGA.49.AAR9","TCGA.49.AARE","TCGA.49.AARN","TCGA.49.AARR","TCGA.50.5044","TCGA.50.5045","TCGA.50.5049","TCGA.50.5055","TCGA.50.5066","TCGA.50.5068","TCGA.50.5930","TCGA.50.5931","TCGA.50.5935","TCGA.50.5942","TCGA.50.5944","TCGA.50.5946","TCGA.50.6590","TCGA.50.6591","TCGA.50.6592","TCGA.50.6593","TCGA.50.6594","TCGA.50.6595","TCGA.50.6597","TCGA.50.6673","TCGA.50.8457","TCGA.50.8460","TCGA.53.7624","TCGA.53.7626","TCGA.53.A4EZ","TCGA.55.1592","TCGA.55.1594","TCGA.55.5899","TCGA.55.6543","TCGA.55.6712","TCGA.55.6968","TCGA.55.6969","TCGA.55.6971","TCGA.55.6972","TCGA.55.6978","TCGA.55.6979","TCGA.55.6980","TCGA.55.6981","TCGA.55.6982","TCGA.55.6985","TCGA.55.6986","TCGA.55.6987","TCGA.55.7227","TCGA.55.7570","TCGA.55.7573","TCGA.55.7724","TCGA.55.7727","TCGA.55.7816","TCGA.55.7903","TCGA.55.7994","TCGA.55.7995","TCGA.55.8085","TCGA.55.8087","TCGA.55.8089","TCGA.55.8091","TCGA.55.8096","TCGA.55.8204","TCGA.55.8205","TCGA.55.8206","TCGA.55.8208","TCGA.55.8301","TCGA.55.8505","TCGA.55.8506","TCGA.55.8510","TCGA.55.8511","TCGA.55.8513","TCGA.55.8614","TCGA.55.8619","TCGA.55.8620","TCGA.55.8621","TCGA.55.A48X","TCGA.55.A48Y","TCGA.55.A48Z","TCGA.55.A491","TCGA.55.A493","TCGA.55.A4DF","TCGA.55.A4DG","TCGA.55.A57B","TCGA.62.8394","TCGA.62.8395","TCGA.62.8397","TCGA.62.8399","TCGA.62.8402","TCGA.62.A46O","TCGA.62.A46U","TCGA.62.A46V","TCGA.62.A46Y","TCGA.62.A471","TCGA.62.A472","TCGA.64.1676","TCGA.64.1679","TCGA.64.1680","TCGA.64.1681","TCGA.64.5779","TCGA.64.5781","TCGA.67.3770","TCGA.67.3771","TCGA.67.3772","TCGA.67.6215","TCGA.67.6216","TCGA.67.6217","TCGA.69.7760","TCGA.69.7761","TCGA.69.7764","TCGA.69.7765","TCGA.69.7979","TCGA.69.8255","TCGA.69.A59K","TCGA.71.6725","TCGA.71.8520","TCGA.73.4658","TCGA.73.4666","TCGA.73.4668","TCGA.73.4675","TCGA.73.4676","TCGA.73.7499","TCGA.75.5122","TCGA.75.5125","TCGA.75.5147","TCGA.75.6203","TCGA.75.6205","TCGA.75.6207","TCGA.75.6211","TCGA.75.6212","TCGA.75.6214","TCGA.75.7025","TCGA.78.7146","TCGA.78.7147","TCGA.78.7149","TCGA.78.7150","TCGA.78.7153","TCGA.78.7154","TCGA.78.7155","TCGA.78.7158","TCGA.78.7162","TCGA.78.7163","TCGA.78.7536","TCGA.78.7537","TCGA.78.7542","TCGA.78.7633","TCGA.78.8640","TCGA.78.8648","TCGA.78.8660","TCGA.78.8662","TCGA.80.5607","TCGA.80.5611","TCGA.86.6562","TCGA.86.6851","TCGA.86.7701","TCGA.86.7711","TCGA.86.7714","TCGA.86.7954","TCGA.86.7955","TCGA.86.8055","TCGA.86.8073","TCGA.86.8074","TCGA.86.8075","TCGA.86.8278","TCGA.86.8279","TCGA.86.8358","TCGA.86.8585","TCGA.86.8668","TCGA.86.8669","TCGA.86.8671","TCGA.86.8672","TCGA.86.8673","TCGA.86.A4P7","TCGA.86.A4P8","TCGA.91.6829","TCGA.91.6830","TCGA.91.6831","TCGA.91.6835","TCGA.91.6840","TCGA.91.6847","TCGA.91.6848","TCGA.91.8496","TCGA.91.8497","TCGA.91.8499","TCGA.91.A4BC","TCGA.91.A4BD","TCGA.93.7348","TCGA.93.A4JN","TCGA.93.A4JP","TCGA.93.A4JQ","TCGA.95.7043","TCGA.95.7944","TCGA.95.7947","TCGA.95.7948","TCGA.95.8039","TCGA.95.8494","TCGA.97.7546","TCGA.97.7547","TCGA.97.7552","TCGA.97.7553","TCGA.97.7937","TCGA.97.8171","TCGA.97.8172","TCGA.97.8174","TCGA.97.8175","TCGA.97.8177","TCGA.97.8547","TCGA.97.8552","TCGA.97.A4LX","TCGA.97.A4M1","TCGA.97.A4M2","TCGA.97.A4M6","TCGA.97.A4M7","TCGA.99.7458","TCGA.99.AA5R","TCGA.J2.8192","TCGA.J2.A4AD","TCGA.J2.A4AE","TCGA.L4.A4E5","TCGA.L4.A4E6","TCGA.L9.A444","TCGA.L9.A50W","TCGA.L9.A5IP","TCGA.L9.A743","TCGA.L9.A7SV","TCGA.MN.A4N1","TCGA.MN.A4N4","TCGA.MP.A4SV","TCGA.MP.A4SW","TCGA.MP.A4T6","TCGA.MP.A4T9","TCGA.MP.A4TA","TCGA.MP.A4TC","TCGA.MP.A4TH","TCGA.MP.A4TJ","TCGA.MP.A5C7","TCGA.NJ.A4YQ","TCGA.NJ.A55A","TCGA.NJ.A7XG","TCGA.O1.A52J","TCGA.S2.AA1A"
"Th17_Standard",0.0148969754739604,-0.0670942194887332,-0.0445145190245481,-0.055941833951828,-0.0150771284086395,-0.0200844502236767,-0.0208517825841328,-0.0263677832686335,-0.00552832179088162,-0.0073410005371163,-0.0274607830618486,-0.0388323556981854,0.0367373489617247,0.00687743022784619,-0.0471322014500763,-0.0453454871811808,-0.0263378512456839,-0.00647204525519705,0.00471276440233847,-0.0129513593788325,-0.0103925879288183,0.0295137582947684,0.0511628639700397,0.167639106161205,-0.0344027738438052,-0.00257408042051967,-0.00482661244385597,-0.0178798355190908,-0.0187133113778151,-0.0287115013036396,-0.0437372500033248,0.0002168138286106,-0.0414621498700385,-0.021894633211157,0.0341648241777481,0.0990266024169217,-0.0377088273366176,0.183753793796567,0.09672332503292,0.0547576332066878,0.0129278712720761,-0.00335112022146608,0.010274602496499,-0.00767697910661654,-0.00282779802387784,-0.0577149242938965,-0.0560571099658481,0.284955229823707,0.0712466746247185,0.110488074386881,-0.00610408969086815,-0.0069003829293699,0.173269775178117,0.0301356883107732,-0.0121297480722295,-0.0111362204767671,0.0276102853189961,0.0434939407211472,-0.0259248926833838,-0.108420165295393,-0.0143567314306392,0.0097941687526017,-0.0275563625022453,-0.0383882690265465,0.0682411787541234,-0.0051664325228352,-0.0306718828957213,0.0387279294887631,-0.00162677035931978,0.0350887614099619,0.0185016902401474,0.00889405948201087,-0.0339208252854273,-0.0545343324030868,0.0787504499531413,0.00514547859861578,0.0432025540705683,-0.000967588532981795,-0.0266098407195996,-0.0263851798894175,0.152347149452704,0.0223020874921595,0.0473641004348588,0.00365845650226251,0.00174593671202536,-0.0221822376179573,0.025603878878383,0.0321964301893472,-0.0212118264789165,-0.0593884743793161,-0.0377380591292477,-0.0370868465256012,0.0657879242697366,0.14725836203815,0.0628987634828809,0.0358069942875341,-0.031995568535745,0.182980797084015,-0.0312638698087535,0.00744733628107071,-0.0268638273687231,-0.0263857419608283,0.0214374853236338,-0.0102160537415568,-0.0943388795119395,-0.0363043705496966,-0.00757739485026351,0.043706595506357,-0.029904152428646,-0.000585791192798196,0.0125386050899407,0.080050974152704,0.0275950389553482,-0.0834452970996047,0.110583967229035,0.0342669108393312,0.0211469436856391,0.00225979387896692,0.0710735415975452,0.0272666927593806,-0.0341807049697587,0.0291649674443044,0.0121721814844795,0.0163102074975259,-0.0340622839326644,0.0038579225818854,-0.0297107430645705,0.0482874640643756,-0.0343507713002491,-0.0447872085114763,-0.00448176085204037,-0.0131016034359273,-0.082087978625279,0.0382393905218988,0.0736995323179598,0.0594726910684114,0.027294805566181,0.0265115698684246,-0.068999383241627,0.0668581355279456,0.0196944273292442,0.0557668907425736,0.00211559622238411,0.0120207091340384,0.0624374792357116,-0.0591706092244823,0.0413927267286508,-0.0226340666688173,0.00986813073414135,-0.0379718770738043,-0.0280494989000377,0.101652106621454,0.0601422370186333,0.0135232307901956,0.053362410498359,-0.0257296954265636,-0.0579384151886133,-0.00846874458886722,-0.0472213787643035,-0.030138654505393,-0.0961317814913403,-0.0107295233493307,-0.010402833323837,-0.0702168038888465,-0.0203019345821909,-0.0210971475102643,-0.044201419581913,-0.0264424388231554,-0.00869560532204341,-0.045115222935162,0.10562934880719,-0.0438880656421478,-0.0435156743836929,0.0468391796706508,0.00311456666315635,-0.124498561020128,-0.0251114626559912,-0.0314533212128443,-0.0479081244834834,-0.0210461484096852,-0.0655071915350393,0.00281715369309657,-0.016321182924281,-0.0578618371060926,0.0899540493222125,-0.0186470826389635,-0.00813155446236704,-0.0213328808615695,-0.0511515108157446,0.0638905104458501,0.0379749846231443,-0.0325945902593843,0.00705549802645862,-0.0309423911900908,-0.0301871886948242,-0.0299309430759572,-0.00383169991321919,0.0156431931987879,-0.0126976408786662,-0.0575722904076293,0.0699744617196764,-0.0154575161764448,0.0159903054248782,-0.0398279577885068,-0.000622171368870325,-0.0561876091600131,-0.0233591840148073,-0.0494110482188859,-0.0823853819007925,0.0573504564857277,-0.0267859022562714,-0.00317148979486057,-0.0140811355177689,-0.0343724661943334,-0.0400627717000545,-0.0690584356167354,-0.00613379090963245,-0.0440441691846192,-0.0263497933579654,-0.0772730023401054,-0.0456901453102973,0.216687644363432,-0.0037168059197774,-0.0377142043627279,-0.015615051025573,-0.031615394649439,0.0329514103724505,-0.0167752709918702,0.0460714943612357,0.0881360881240724,-0.0636142191259376,0.0041982469398048,-0.0345312826180894,0.0956382623344813,0.000963163501339177,0.0390766031499822,0.0678411540007692,0.0327163357118776,0.00792269202459475,0.0360602553488167,-0.00226800759018989,-0.0255251852148514,-0.0366310106402969,-0.0100993067714685,0.0136335133797744,0.0162380100186315,-0.0167006269054421,-0.0207787897730488,0.0947061420174432,-0.000461669905338708,0.0691510763131519,-0.00491795056365836,0.00854814063775713,-0.0312735341998308,0.244425194592108,-0.068778461751976,-0.0761094824917494,0.00560315170772344,0.0937493641420079,-0.0695390687366865,0.0235431765533415,0.00207752409534511,-0.0347986177266527,0.101770398025506,-0.0378459966048521,0.0195055867263415,-0.0274110651418258,-0.0421202853024039,-0.00468298665954999,-0.0315151332601534,-0.0252808180512701,-0.0416581346688888,-0.0335976492888977,-0.00476435905910587,-0.0239097704024613,-0.0832781256184072,-0.0293406191887826,-0.0516344770746328,-0.0281293417974508,-0.017906984515103,0.112299953614335,-0.0817706001066372,0.0726908349650549,-0.0631461738177622,-0.0473584499219295,-0.0214055854000914,-0.024590226256558,0.00885026249007769,-0.0154960258042859,0.0977096513460794,-0.0170072417554268,-0.0844906169310425,-0.0227297481616281,-0.000731337561677485,0.00510492744015634,-0.0513639643107283,0.0279590119641615,0.0375619701473606,-0.0768801142089027,-0.0104337781189085,0.0605182332833231,-0.00325097709632214,-0.026713308789867,-0.0785232389811615,0.00369359434582171,0.00433545093420421,0.134693830437024,-0.0671251864473195,0.079811811743282,-0.0773773149058124,-0.0407219741405032,-0.046885803267123,-0.0644253006501568,-0.0932163444743463,-0.0572179767027604
"Th17_Enhanced",-0.0216287457985681,0.078031860152004,0.0573411497333389,0.0495575505292249,0.00942435417148877,-0.000326002791068323,0.0181794878070392,0.0228099298253229,-0.0196970629630379,0.00431427004647965,0.0249769289572735,0.0205878564518854,-0.026956602383034,-0.000508940918754294,0.0319917708312418,0.0336549429537129,0.0209162061638224,-0.0032184633185851,-0.0290844382393512,-0.00681112488156978,-0.014574471050632,-0.0530276807203965,-0.0507832675078446,-0.12573842444195,0.0671377181921807,0.00361062426580474,-0.0161613951094086,0.0387158443812368,0.0111097796198213,0.032370534823193,0.0351738156446516,-0.0110613213569549,0.0263011160082851,0.047253590236443,-0.0408451018005927,-0.0869621262906516,0.0171457411048764,-0.199379882916545,-0.100232342316277,-0.0664522097495345,-0.0364590278104889,0.00270733920057185,-0.0110972588460298,-0.0189411061073195,-0.00228804911571848,0.0380567990603075,0.0369729613065982,-0.228050841570306,-0.0583114728242442,-0.089429919865451,-0.0263652672161944,-0.0214283323066309,-0.133079691341732,-0.0501321260517603,-0.0127716200853268,-0.000109315927651066,-0.0122651157855956,-0.0350435590854049,0.0252599868948334,0.112980559486055,0.0428360778195236,-0.000780786204073953,0.014104369751668,0.0344417842048071,-0.046855671270091,-0.0258414896873716,0.0366489093016935,-0.0431828348748724,0.00504049473763935,-0.0397795084128721,-0.0284425307288968,-0.0230637593693399,0.0258072797937025,0.0508338499731149,-0.0731632052931791,-0.0146753656953294,0.00474897087501555,0.000361332683406699,0.0419961510530844,0.0113565828646304,-0.118005290811556,-0.037527545503427,-0.0518952434995073,-0.0183791522856996,-0.0168959730721009,-0.00924700937191326,0.00625445632751895,-0.0471435475775019,0.0461455760659143,0.0809777090943296,0.0461353676390394,0.0364713607399435,-0.0811648197703644,-0.189070196705232,-0.0409622375081577,-0.032435208451055,0.0249767393360191,-0.143735735713087,0.0133168103497532,0.015388581794245,0.0620853198496337,0.025057666942602,0.00152666141211165,-0.00662539041417076,0.0826457319125937,0.0313440701362618,-0.0210532413880366,-0.0602882656167241,0.0235096329290879,-0.00875123423465374,-0.037200892186714,-0.0783258378660919,-0.0443743079987291,0.136630936728787,-0.0934448729558834,-0.0404125194582698,-0.0206077947942778,-0.0116801078266691,-0.0571333017706429,-0.0373438466801028,0.0112942378766118,-0.0463385684088068,-0.0144536954504618,-0.0533965520807486,0.0361069932736854,-0.0294182887913794,0.0142489903809184,-0.0298495381466368,0.0396987474549787,0.049119781266099,-0.00984347097918221,0.028677898821889,0.102942575638804,-0.0395712542192696,-0.0528558411847106,-0.0517204113109219,-0.0448749681822933,-0.0181067723958284,0.0773334734592446,-0.0529550332971561,-0.0274663845021289,-0.0351768385995166,-0.0130932072569464,0.00918254735622223,-0.0338510854644639,0.0491638105587228,-0.0444757292130727,0.0103260944291023,-0.0180228018573704,0.0292515299006313,0.0344572980216667,-0.0795817066442681,-0.0351713727625839,-0.0228552904661521,-0.0597790210792086,-0.0180347993421979,0.0947178153897775,0.0122966753450591,0.0324345533722993,0.10244930959638,0.11662499070438,-0.00424450948777037,-0.0367363135266445,0.0458576233333476,-0.00284029042253823,0.0664656410729501,0.0198734181555617,0.0127447379410246,-0.00603811683926875,0.0149010927388999,-0.0883392880748352,0.0447887671686482,0.0437737755233971,-0.0555261003555056,-0.0601958244298516,0.118176133456257,0.0251659861386097,0.0159860490961564,0.0373696903851058,0.0149405742236141,0.0597001846742492,-0.00144543855430112,0.0184246476167931,0.0664809460186344,-0.0706988025296528,0.0237937012674245,-0.0259351734531456,0.0179765488931901,0.0712151646011361,-0.0376847544438077,-0.0321730471933665,0.0213142294798615,0.0130875200883565,0.121261898030851,0.0232514550218479,0.00838736657301924,-0.0195823034868595,-0.0203743760975482,0.00336008690427273,0.047338984492308,-0.0522808647077553,0.00854230658732227,-0.0408280518562851,0.0368024250693157,-0.0147186321185848,0.0473336027441167,0.0108649996924735,0.0276361384649541,0.107032202927406,-0.0578139071099543,0.035278270613185,-0.0222554738131097,-0.0284632032983286,0.0379326923357192,0.0911339566352831,0.0456390019036683,-0.00994320294537338,0.0567198574947376,6.69378226345702e-05,0.16131861340409,0.039288749995221,-0.154744601030816,0.0147963710835955,0.0455482171239777,0.0050791875092178,0.0283535892589731,-0.0224180653129575,0.0448569410907488,-0.128055525914795,-0.106093849210795,0.0761950893264311,-0.0168596246261824,0.0287568923827223,-0.0775105178660047,0.039952128480887,-0.0362205050691329,-0.055616687456428,-0.0117764199503051,-0.00635661325345359,-0.063993069269227,-0.0240224988854461,0.0429997541594642,0.0430584601686266,-0.00348504828816238,0.028493528311301,-0.0120181943327431,0.0185830028812276,0.0157697016151587,-0.0576760043126342,-0.0032594294692882,-0.0720749420956009,0.0162993964348142,0.0100801647958117,-0.0262661158748987,-0.198223432156977,0.0792457536439532,0.0894400722235466,-0.0458706547079277,-0.100604921430483,0.0477535969418178,-0.0253962080245099,0.00439104233534907,0.0256047753951357,-0.0848552302785842,0.0516509416773139,-0.038674367510499,0.00320222775068323,0.0360074513825286,0.0221550513779941,0.00335744287365287,0.0448840916391528,0.0325992176520444,0.0198547532586348,-0.0136699642634264,0.0230434488295062,0.14597553045094,0.0340959726442134,0.0889519888945593,-0.00105604009729781,-0.00129598031525298,-0.0593827179799995,0.0694105451357046,-0.0631589167717209,0.0639643142466496,0.0407525301507794,0.0157268989286359,0.00841919863605532,0.00140368988996521,0.0151455664886853,-0.0756928811020955,0.0236538584665426,0.0774836375777792,0.0280798874203099,0.00464016888413,0.00958761248998255,0.0616361991243724,-0.0260804067121199,-0.0360872704886107,0.128809545221368,0.00762684806252309,-0.0551926782903562,0.00348847175484756,0.0305610227568266,0.0648421941056024,-0.0136182689584892,-0.00537436230374279,-0.0981142417204147,0.0767627387971937,-0.0983190394341951,0.10780976429568,0.0208064591247649,0.039253367336473,0.0764183004752623,0.147263039665103,0.0334765484114166
"Th17_CodeSet",0.0319461884651891,-0.0212967130323147,0.00697690482681146,-0.0538842522515497,-0.0433347314237285,0.0145431646778508,-0.023433434518587,0.0269435963838989,-0.0815490770094872,-0.00783418372888641,0.0273272267860314,-0.0243411092239199,-0.00287467982005889,0.0521565519397166,0.0163264407822306,-0.0668494144529882,-0.0523728666590137,-0.0426486974231606,0.0440190695474821,0.065179174443596,-0.0567556558830515,-0.0253724073121957,0.0454603989571002,0.0228823039130783,-0.0579464725462885,-0.0854297520251144,-0.00874764934884329,-0.0288828418693367,0.167383138609174,0.0431899457455035,-0.0283345933238773,0.056972580907513,0.102958642240779,0.0180499699189194,0.00308794654211026,0.0216744016588819,-0.0371570305153996,0.0654733406862855,0.0468278461665984,0.0398672790552646,0.0916744996166673,0.0323017810302571,-0.0379107774535705,-0.0431035238219859,-0.0755334088782231,0.0593746164923661,0.0150687705021948,0.0218101756799126,0.0264628286742968,0.0922123565591069,0.137163080689394,-0.0638941460667821,-0.0115932807385393,-0.0912311932565098,-0.0614409302780838,-0.0189193604401674,0.0672861401961743,0.02835148512744,-0.0180058372612914,-0.0839186633786188,-0.0420723758884485,-0.0528942357425049,-0.0628280625041548,-0.0077690947769036,-0.0359923866458929,-0.064462986770583,-0.0677500434139729,-0.0211075725407418,0.0429958958107637,0.0189747944052312,-0.0107649303944125,-0.0348405841687236,-0.0399944957196425,-0.0516653497447718,0.0475463029606665,0.0522290663803267,-0.0790899843464679,-0.0600931494438288,-0.0342561022881142,0.0197420615935894,-0.0279552077337995,0.0713436101686584,0.125944656736448,0.12906006341528,0.0454281184191279,0.0398276716327305,-0.0126822919366946,-0.0727321237432266,-0.0171876701894443,-0.00347345047446247,-0.0231886125437265,-0.072723036244804,0.0308364233119256,-0.0716679987210114,0.021182361564603,-0.0241260196818615,-0.0396737483655427,0.000968525110908953,-0.0277323851281864,-0.0185128874354753,0.0473723540838735,0.012927229263721,-0.0396941569271246,0.0847782800760782,-0.0779832628431213,-0.0267664205423409,-0.0489711887619966,-0.0432080149196644,-0.0198763488334845,0.0236134924645281,-0.00487427428536428,0.0375392689831162,0.105338071914243,-0.0921984402698751,0.100161628411675,0.0862036140326562,0.0348734799702717,-0.0451998856692027,-0.00920150262457483,0.0249786404258944,-0.0384656138190332,0.103888419500205,0.0300362386850133,-0.075058235894805,0.0259229697248817,0.0236934639310453,-0.00463809416663864,0.0845565292560754,-0.0276997318484039,0.0404651220565454,0.0540282013372272,-0.00410607892036903,-0.0347305884813173,0.102158735461172,0.020672637884273,0.00264151201081255,-0.0228874665173569,0.0835898842269324,0.0371529598249804,0.108028984359392,0.0642517990232722,-0.0564092468036822,-0.0401897992949851,0.0258743334853257,0.00717900242363363,0.0432806652294841,-0.0291541322039439,0.065512688937104,-0.0432418182329204,0.0644966762078677,0.0207660033349484,-0.0431805763702692,-0.0180745726070908,-0.0212196774175604,0.033631956840097,0.00412327989333092,-0.00305330033581358,-0.00498853791639002,-0.0470855098522727,-0.0284789012005343,-0.0384286073508553,-0.041562288633272,0.0240593273318646,-0.0850549829720616,0.131486801931521,-0.0492917275874763,-0.00404066721505817,-0.0800996781100939,-0.0253099889841312,-0.019210352554904,-0.0177537111277745,-0.0497510292065662,-0.0210041450245861,0.0163949523323609,-0.00878897094730553,-0.0193776191379005,-0.0122729085055807,-0.0163348682079399,-0.043866236826389,-0.00647059033859176,0.0066568356760858,-0.0726369583300529,0.0841709965625046,-0.0269293208205067,0.00716440954408078,-0.0690568987314884,-0.00335095120728032,-0.0120915055057802,-0.0651558331668919,-0.0314302055401862,0.037648921481206,0.0149543056461973,-0.0564371470581775,-0.0474145224540051,-0.0522201144041158,-0.000273377538623506,0.216782792128088,0.0226843346537698,-0.00808301374543591,0.0552041834993949,0.107221844399192,-0.0643644103665492,-0.0519696575993141,0.00780201734370391,-0.0611232113878078,0.0168177803764209,-0.0578360410191687,-0.0516723204957797,-0.0648065967130277,-0.0656648266204039,-0.0663582560573344,-0.0623544043240351,-0.0819132866491983,-0.0573017335377777,0.000742372120282076,-0.0581235201938202,-0.0555208544590796,-0.04271795387877,-0.0496783623162941,-0.0514125893330187,-0.0682724153436995,0.106741870296687,0.00572214485531002,-0.0880508462152453,0.003191662471652,-0.0214284290620743,-0.0281736513361902,0.108675337008851,0.0530218502702554,-0.0235125123195596,-0.0153931449543662,0.0427729198787779,-0.103907271991958,0.00413485862834541,-0.0302812705163067,-0.0142000951995295,0.00216319334899768,-0.00712291203637325,-0.0606269647640674,-0.0568139469447111,-0.0142135336992638,0.0257350761080206,-0.0261875815906838,0.189788316469711,-0.0164741703621178,-0.0529970888915596,0.031908245435342,0.106875987797736,-0.0266472357238351,0.0118843610356614,-0.0322517764236145,0.137490233902873,-0.0150888806197039,-0.0780349823598688,0.0549051872605233,0.00209233383942218,0.0549956506585378,-0.0650327316548805,0.0943057577198966,-0.0273015775355259,-0.000320048403208908,-0.00229137546427788,0.0112002911087454,0.0661282777918182,-0.0818316652558641,0.0491360152797376,-0.0234838920993962,-0.0633740323173916,0.0105702599282059,-0.054351008370227,0.0362765595603076,-0.0206049157834795,0.134230750124635,0.0915428295562667,-0.0619414681488175,-0.0813295245855257,0.0657088256282627,0.0370990495822031,-0.0228449068883316,0.0197738394105172,-0.0228116482262193,0.00705420418196837,0.106501325089613,-0.0168378932917795,0.0597191281738955,0.0311820851783501,0.0452595647658984,0.0629040780354792,0.0945040840102631,0.0420738093725244,-0.0618405724797239,0.0147548015223715,-0.0536883721101491,0.0855027313301563,0.0870889721644338,-0.0214875549905994,-0.0445012451822186,0.074162881231862,-0.0704573154184709,-0.0785422839151774,-0.0444760170066095,0.000165361233309545,-0.0105319427934114,-0.0273393618141603,-0.00734621474211322,-0.0397057881493538,-0.000521824327400608,0.0652368839587128,0.135405819355673,-0.0665615763863304,0.0533358445075083,0.030499676841527,-0.0651220723558877,-0.00244925047014833,0.0836075522656483
